,Date,p/kg,Arrival,yms,relative_change
0,01-Sep,63,600,0,-0.4166666666666667
1,02-Sep,66,350,-1,0.2857142857142857
2,03-Sep,68,450,1,0.3333333333333333
3,04-Sep,70,600,1,-0.16666666666666666
4,05-Sep,70,500,-1,-0.2
5,06-Sep,66,400,-1,0.0
6,07-Sep,62,400,0,-0.25
7,08-Sep,62,300,-1,-0.16666666666666666
8,09-Sep,60,250,-1,-0.2
9,10-Sep,60,200,-1,0.375
10,11-Sep,63,275,1,0.13454545454545455
11,12-Sep,63,312,1,0.12179487179487179
12,13-Sep,62,350,1,0.2857142857142857
13,14-Sep,69,450,1,-0.4444444444444444
14,15-Sep,68,250,-1,1.2
15,16-Sep,63,550,1,-0.2727272727272727
16,17-Sep,58,400,-1,-0.5
17,18-Sep,60,200,-1,1.375
18,19-Sep,60,475,1,0.5789473684210527
19,20-Sep,60,750,1,-0.6666666666666666
20,21-Sep,60,250,-1,-0.2
21,22-Sep,60,200,-1,1.25
22,23-Sep,60,450,1,-0.3333333333333333
23,24-Sep,60,300,-1,-0.16666666666666666
24,25-Sep,60,250,-1,-0.2
25,26-Sep,60,200,-1,-0.25
26,27-Sep,62,150,-1,0.5
27,28-Sep,66,225,1,0.3333333333333333
28,29-Sep,66,300,1,-0.3333333333333333
29,30-Sep,62,200,-1,0.75
30,01-Oct,62,350,1,-0.14285714285714285
31,02-Oct,60,300,-1,0.0
32,03-Oct,60,300,0,0.0
33,04-Oct,60,300,0,-0.16666666666666666
34,05-Oct,62,250,-1,-0.2
35,06-Oct,66,200,-1,0.0
36,07-Oct,66,200,0,0.75
37,08-Oct,66,350,1,-0.5714285714285714
38,09-Oct,60,150,-1,0.5
39,10-Oct,60,225,1,0.3333333333333333
40,11-Oct,62,300,1,0.0
41,12-Oct,60,300,0,0.0
42,13-Oct,64,300,0,0.0
43,14-Oct,62,300,0,-0.16666666666666666
44,15-Oct,66,250,-1,0.4
45,16-Oct,64,350,1,-0.21428571428571427
46,17-Oct,64,275,-1,-0.2727272727272727
47,18-Oct,61,200,-1,0.625
48,19-Oct,61,325,1,0.38461538461538464
49,20-Oct,64,450,1,0.0
50,21-Oct,64,450,0,-0.3333333333333333
51,22-Oct,62,300,-1,0.16666666666666666
52,23-Oct,62,350,1,0.21428571428571427
53,24-Oct,67,425,1,0.17647058823529413
54,25-Oct,67,500,1,-0.3
55,26-Oct,68,350,-1,0.0
56,27-Oct,71,350,0,0.14285714285714285
57,28-Oct,73,400,1,-0.75
58,29-Oct,72,100,-1,3.0
59,30-Oct,73,400,1,-0.1875
60,31-Oct,73,325,-1,-0.23076923076923078
61,01-Nov,71,250,-1,0.0
62,02-Nov,71,250,0,1.6
63,03-Nov,70,650,1,-0.15384615384615385
64,04-Nov,73,550,-1,-0.09090909090909091
65,05-Nov,76,500,-1,0.5
66,06-Nov,76,750,1,-0.16666666666666666
67,07-Nov,76,625,-1,-0.2
68,08-Nov,78,500,-1,-0.1
69,09-Nov,77,450,-1,0.7777777777777778
70,10-Nov,80,800,1,-0.4375
71,11-Nov,76,450,-1,0.2222222222222222
72,12-Nov,76,550,1,0.5454545454545454
73,13-Nov,68,850,1,-0.2647058823529412
74,14-Nov,68,625,-1,-0.36
75,15-Nov,72,400,-1,0.0
76,16-Nov,73,400,0,-0.25
77,17-Nov,73,300,-1,1.6666666666666667
78,18-Nov,70,800,1,-0.25
79,19-Nov,70,600,-1,-0.08333333333333333
80,20-Nov,69,550,-1,1.0454545454545454
81,21-Nov,69,1125,1,0.5111111111111111
82,22-Nov,70,1700,1,0.4117647058823529
83,23-Nov,67,2400,1,-0.5
84,24-Nov,68,1200,-1,1.0833333333333333
85,25-Nov,66,2500,1,-0.36
86,26-Nov,66,1600,-1,0.4375
87,27-Nov,67,2300,1,0.043478260869565216
88,28-Nov,67,2400,1,0.041666666666666664
89,29-Nov,68,2500,1,-0.12
90,30-Nov,69,2200,-1,1.3636363636363635
91,01-Dec,67,5200,1,-0.009615384615384616
92,02-Dec,63,5150,-1,0.32038834951456313
93,03-Dec,59,6800,1,0.11764705882352941
94,04-Dec,56,7600,1,0.3026315789473684
95,05-Dec,56,9900,1,-0.2777777777777778
96,06-Dec,55,7150,-1,-0.38461538461538464
97,07-Dec,55,4400,-1,0.20454545454545456
98,08-Dec,54,5300,1,0.0
99,09-Dec,48,5300,0,0.05660377358490566
100,10-Dec,44,5600,1,-0.4107142857142857
101,11-Dec,40,3300,-1,0.3939393939393939
102,12-Dec,36,4600,1,-0.08695652173913043
103,13-Dec,36,4200,-1,-0.09523809523809523
104,14-Dec,36,3800,-1,0.7368421052631579
105,15-Dec,36,6600,1,-0.3181818181818182
106,16-Dec,34,4500,-1,0.15555555555555556
107,17-Dec,34,5200,1,0.0
